,semantic_similarity,quantity_ratio,budget_ratio,delivery_ratio,location_overlap,match_label
count,312.0,312.0,312.0,312.0,312.0,312.0
mean,0.38100821456516515,1.4854990577303984,0.8655662685853048,0.7288614163614164,0.6089743589743589,0.5608974358974359
std,0.33094428051928587,0.6313521207990618,0.5672409263375437,0.6530963030834516,0.47879427811453096,0.49707488006548683
min,0.0,0.2,0.625,0.15555555555555556,0.0,0.0
25%,0.05244358523778154,1.0431826281179282,0.625,0.4666666666666667,0.0,0.0
50%,0.34382387864262676,1.3452859840847897,0.7175000096940735,0.4666666666666667,1.0,1.0
75%,0.4528745414783121,1.900923343696453,0.8021760625078647,1.0,1.0,1.0
max,1.0,3.0,3.0,3.0,1.0,1.0
